Sequence.Name	GenBank.Accn	RefSeq.Accn	Sequence.Length	Chr
C17706833	AOGC01087971.1	NW_013190082.1	365	4429
C17706889	AOGC01087973.1	NW_013190085.1	365	4430
C17706249	AOGC01087976.1	NW_013190087.1	365	4431
C17707031	AOGC01087977.1	NW_013190092.1	365	4432
C17707649	AOGC01087978.1	NW_013190086.1	365	4433
C17707349	AOGC01087979.1	NW_013190083.1	365	4434
C17707791	AOGC01087980.1	NW_013190084.1	365	4435
C17707433	AOGC01087981.1	NW_013190089.1	365	4436
C17707855	AOGC01087982.1	NW_013190081.1	365	4437
C17708027	AOGC01087983.1	NW_013190088.1	365	4438
C17707813	AOGC01087984.1	NW_013190090.1	365	4439
C17708057	AOGC01087985.1	NW_013190093.1	365	4440
C17706913	AOGC01087986.1	NW_013190091.1	365	4441
C17705061	AOGC01087969.1	NW_013190094.1	364	4442
C17704519	AOGC01087970.1	NW_013190096.1	364	4443
C17706041	AOGC01087974.1	NW_013190095.1	364	4444
C17705393	AOGC01087975.1	NW_013190097.1	364	4445
scaffold1360	AOGC01084550.1	NW_013190105.1	363	4446
scaffold1394	AOGC01084598.1	NW_013190103.1	363	4447
C17702733	AOGC01087962.1	NW_013190099.1	363	4448
C17702351	AOGC01087963.1	NW_013190098.1	363	4449
C17703075	AOGC01087964.1	NW_013190102.1	363	4450
C17702753	AOGC01087965.1	NW_013190101.1	363	4451
C17703091	AOGC01087966.1	NW_013190104.1	363	4452
C17703293	AOGC01087968.1	NW_013190106.1	363	4453
C17703913	AOGC01087972.1	NW_013190100.1	363	4454
C17700235	AOGC01087952.1	NW_013190113.1	362	4455
C17700285	AOGC01087954.1	NW_013190107.1	362	4456
C17700759	AOGC01087955.1	NW_013190115.1	362	4457
C17701181	AOGC01087957.1	NW_013190109.1	362	4458
C17701659	AOGC01087958.1	NW_013190111.1	362	4459
C17702073	AOGC01087959.1	NW_013190114.1	362	4460
C17701453	AOGC01087960.1	NW_013190108.1	362	4461
C17700273	AOGC01087961.1	NW_013190112.1	362	4462
C17701933	AOGC01087967.1	NW_013190110.1	362	4463
scaffold1318	AOGC01084484.1	NW_013190124.1	361	4464
C17698143	AOGC01087944.1	NW_013190126.1	361	4465
C17698335	AOGC01087945.1	NW_013190122.1	361	4466
C17698557	AOGC01087946.1	NW_013190125.1	361	4467
C17698883	AOGC01087947.1	NW_013190116.1	361	4468
C17698453	AOGC01087948.1	NW_013190120.1	361	4469
C17699257	AOGC01087949.1	NW_013190119.1	361	4470
C17699393	AOGC01087950.1	NW_013190121.1	361	4471
C17699953	AOGC01087951.1	NW_013190118.1	361	4472
C17700063	AOGC01087953.1	NW_013190123.1	361	4473
C17700013	AOGC01087956.1	NW_013190117.1	361	4474
scaffold546	AOGC01078681.1	NW_013190128.1	360	4475
C17697603	AOGC01087938.1	NW_013190129.1	360	4476
C17697089	AOGC01087940.1	NW_013190127.1	360	4477
C17697261	AOGC01087942.1	NW_013190130.1	360	4478
C17697963	AOGC01087943.1	NW_013190131.1	360	4479
scaffold1268	AOGC01084414.1	NW_013190134.1	359	4480
C17694087	AOGC01087929.1	NW_013190140.1	359	4481
C17694207	AOGC01087932.1	NW_013190133.1	359	4482
C17694653	AOGC01087933.1	NW_013190141.1	359	4483
C17694637	AOGC01087934.1	NW_013190138.1	359	4484
C17694161	AOGC01087935.1	NW_013190132.1	359	4485
C17695725	AOGC01087936.1	NW_013190139.1	359	4486
C17694731	AOGC01087937.1	NW_013190137.1	359	4487
C17695835	AOGC01087939.1	NW_013190136.1	359	4488
C17695167	AOGC01087941.1	NW_013190135.1	359	4489
C17693153	AOGC01087919.1	NW_013190151.1	358	4490
C17693201	AOGC01087920.1	NW_013190142.1	358	4491
C17693177	AOGC01087922.1	NW_013190145.1	358	4492
C17693253	AOGC01087923.1	NW_013190149.1	358	4493
C17692295	AOGC01087924.1	NW_013190144.1	358	4494
C17693259	AOGC01087925.1	NW_013190150.1	358	4495
C17693535	AOGC01087926.1	NW_013190146.1	358	4496
C17693319	AOGC01087927.1	NW_013190143.1	358	4497
C17693875	AOGC01087928.1	NW_013190148.1	358	4498
C17693415	AOGC01087930.1	NW_013190152.1	358	4499
C17693659	AOGC01087931.1	NW_013190147.1	358	4500
C17690245	AOGC01087910.1	NW_013190161.1	357	4501
C17690927	AOGC01087911.1	NW_013190153.1	357	4502
C17691961	AOGC01087912.1	NW_013190154.1	357	4503
C17691753	AOGC01087913.1	NW_013190159.1	357	4504
C17691841	AOGC01087915.1	NW_013190160.1	357	4505
C17691385	AOGC01087916.1	NW_013190156.1	357	4506
C17690991	AOGC01087917.1	NW_013190158.1	357	4507
C17691963	AOGC01087918.1	NW_013190155.1	357	4508
C17692035	AOGC01087921.1	NW_013190157.1	357	4509
scaffold1462	AOGC01084704.1	NW_013190163.1	356	4510
C17688501	AOGC01087903.1	NW_013190167.1	356	4511
C17690027	AOGC01087906.1	NW_013190162.1	356	4512
C17689465	AOGC01087907.1	NW_013190168.1	356	4513
C17688747	AOGC01087908.1	NW_013190165.1	356	4514
C17689459	AOGC01087909.1	NW_013190166.1	356	4515
C17690039	AOGC01087914.1	NW_013190164.1	356	4516
C17686345	AOGC01087895.1	NW_013190171.1	355	4517
C17687015	AOGC01087898.1	NW_013190170.1	355	4518
C17687079	AOGC01087899.1	NW_013190169.1	355	4519
C17686859	AOGC01087900.1	NW_013190172.1	355	4520
C17687141	AOGC01087901.1	NW_013190175.1	355	4521
C17687463	AOGC01087902.1	NW_013190173.1	355	4522
C17687953	AOGC01087904.1	NW_013190174.1	355	4523
C17684175	AOGC01087884.1	NW_013190178.1	354	4524
C17684525	AOGC01087886.1	NW_013190183.1	354	4525
C17684447	AOGC01087887.1	NW_013190177.1	354	4526
C17685251	AOGC01087889.1	NW_013190179.1	354	4527
C17684375	AOGC01087890.1	NW_013190181.1	354	4528
C17684545	AOGC01087891.1	NW_013190185.1	354	4529
C17685309	AOGC01087892.1	NW_013190186.1	354	4530
C17685861	AOGC01087893.1	NW_013190182.1	354	4531
C17685369	AOGC01087894.1	NW_013190180.1	354	4532
C17684663	AOGC01087896.1	NW_013190176.1	354	4533
C17685621	AOGC01087897.1	NW_013190187.1	354	4534
C17685895	AOGC01087905.1	NW_013190184.1	354	4535
C17682663	AOGC01087883.1	NW_013190189.1	353	4536
C17682591	AOGC01087888.1	NW_013190188.1	353	4537
C17679985	AOGC01087874.1	NW_013190196.1	352	4538
C17680025	AOGC01087877.1	NW_013190190.1	352	4539
C17679955	AOGC01087878.1	NW_013190192.1	352	4540
C17680593	AOGC01087879.1	NW_013190195.1	352	4541
C17680673	AOGC01087880.1	NW_013190193.1	352	4542
C17681431	AOGC01087881.1	NW_013190194.1	352	4543
C17681715	AOGC01087885.1	NW_013190191.1	352	4544
C17678307	AOGC01087868.1	NW_013190200.1	351	4545
C17678403	AOGC01087870.1	NW_013190202.1	351	4546
C17678305	AOGC01087871.1	NW_013190198.1	351	4547
C17679317	AOGC01087872.1	NW_013190204.1	351	4548
C17679423	AOGC01087873.1	NW_013190203.1	351	4549
C17679139	AOGC01087875.1	NW_013190201.1	351	4550
C17679733	AOGC01087876.1	NW_013190199.1	351	4551
C17679079	AOGC01087882.1	NW_013190197.1	351	4552
scaffold1334	AOGC01084508.1	NW_013190206.1	350	4553
C17676035	AOGC01087858.1	NW_013190209.1	350	4554
C17675939	AOGC01087860.1	NW_013190212.1	350	4555
C17676589	AOGC01087861.1	NW_013190207.1	350	4556
C17676611	AOGC01087862.1	NW_013190215.1	350	4557
C17676265	AOGC01087863.1	NW_013190205.1	350	4558
C17677121	AOGC01087864.1	NW_013190213.1	350	4559
C17676645	AOGC01087865.1	NW_013190210.1	350	4560
C17677303	AOGC01087866.1	NW_013190211.1	350	4561
C17677683	AOGC01087867.1	NW_013190208.1	350	4562
C17677559	AOGC01087869.1	NW_013190214.1	350	4563
scaffold855	AOGC01082812.1	NW_013190219.1	349	4564
C17673467	AOGC01087848.1	NW_013190220.1	349	4565
C17673651	AOGC01087849.1	NW_013190221.1	349	4566
C17674307	AOGC01087850.1	NW_013190216.1	349	4567
C17673975	AOGC01087852.1	NW_013190224.1	349	4568
C17674017	AOGC01087853.1	NW_013190223.1	349	4569
C17675473	AOGC01087854.1	NW_013190225.1	349	4570
C17674367	AOGC01087855.1	NW_013190222.1	349	4571
C17674153	AOGC01087856.1	NW_013190226.1	349	4572
C17675507	AOGC01087857.1	NW_013190217.1	349	4573
C17674607	AOGC01087859.1	NW_013190218.1	349	4574
scaffold1261	AOGC01084407.1	NW_013190238.1	348	4575
C17671231	AOGC01087833.1	NW_013190240.1	348	4576
C17671995	AOGC01087837.1	NW_013190230.1	348	4577
C17672099	AOGC01087838.1	NW_013190227.1	348	4578
C17672051	AOGC01087839.1	NW_013190233.1	348	4579
C17672133	AOGC01087840.1	NW_013190236.1	348	4580
C17672339	AOGC01087841.1	NW_013190239.1	348	4581
C17672751	AOGC01087842.1	NW_013190234.1	348	4582
C17672749	AOGC01087843.1	NW_013190231.1	348	4583
C17673033	AOGC01087844.1	NW_013190235.1	348	4584
C17673217	AOGC01087845.1	NW_013190237.1	348	4585
C17673285	AOGC01087846.1	NW_013190232.1	348	4586
C17672211	AOGC01087847.1	NW_013190229.1	348	4587
C17672229	AOGC01087851.1	NW_013190228.1	348	4588
scaffold1276	AOGC01084423.1	NW_013190247.1	347	4589
C17669043	AOGC01087817.1	NW_013190251.1	347	4590
C17669015	AOGC01087818.1	NW_013190241.1	347	4591
C17669235	AOGC01087820.1	NW_013190246.1	347	4592
C17669463	AOGC01087822.1	NW_013190252.1	347	4593
C17669053	AOGC01087823.1	NW_013190257.1	347	4594
C17669899	AOGC01087824.1	NW_013190248.1	347	4595
C17669621	AOGC01087825.1	NW_013190245.1	347	4596
C17669919	AOGC01087826.1	NW_013190250.1	347	4597
C17669651	AOGC01087827.1	NW_013190256.1	347	4598
C17670235	AOGC01087828.1	NW_013190258.1	347	4599
C17670395	AOGC01087829.1	NW_013190255.1	347	4600
C17669967	AOGC01087830.1	NW_013190254.1	347	4601
C17670337	AOGC01087831.1	NW_013190253.1	347	4602
C17669937	AOGC01087832.1	NW_013190244.1	347	4603
C17670399	AOGC01087834.1	NW_013190242.1	347	4604
C17670263	AOGC01087835.1	NW_013190249.1	347	4605
C17670743	AOGC01087836.1	NW_013190243.1	347	4606
C17667921	AOGC01087809.1	NW_013190259.1	346	4607
C17667501	AOGC01087811.1	NW_013190260.1	346	4608
C17666833	AOGC01087812.1	NW_013190266.1	346	4609
C17668015	AOGC01087813.1	NW_013190262.1	346	4610
C17668689	AOGC01087814.1	NW_013190265.1	346	4611
C17668821	AOGC01087816.1	NW_013190263.1	346	4612
C17668649	AOGC01087819.1	NW_013190261.1	346	4613
C17668925	AOGC01087821.1	NW_013190264.1	346	4614
C17664963	AOGC01087799.1	NW_013190270.1	345	4615
C17665139	AOGC01087800.1	NW_013190268.1	345	4616
C17664839	AOGC01087802.1	NW_013190272.1	345	4617
C17665785	AOGC01087803.1	NW_013190274.1	345	4618
C17664989	AOGC01087804.1	NW_013190277.1	345	4619
C17665655	AOGC01087805.1	NW_013190275.1	345	4620
C17666439	AOGC01087806.1	NW_013190276.1	345	4621
C17666577	AOGC01087807.1	NW_013190267.1	345	4622
C17665881	AOGC01087808.1	NW_013190269.1	345	4623
C17665909	AOGC01087810.1	NW_013190273.1	345	4624
C17666751	AOGC01087815.1	NW_013190271.1	345	4625
scaffold1365	AOGC01084554.1	NW_013190282.1	344	4626
C17663379	AOGC01087790.1	NW_013190287.1	344	4627
C17664277	AOGC01087791.1	NW_013190279.1	344	4628
C17664297	AOGC01087792.1	NW_013190288.1	344	4629
C17662617	AOGC01087793.1	NW_013190281.1	344	4630
C17664327	AOGC01087794.1	NW_013190284.1	344	4631
C17664677	AOGC01087795.1	NW_013190286.1	344	4632
C17664373	AOGC01087796.1	NW_013190278.1	344	4633
C17664355	AOGC01087797.1	NW_013190280.1	344	4634
C17664667	AOGC01087798.1	NW_013190285.1	344	4635
C17664635	AOGC01087801.1	NW_013190283.1	344	4636
C17660679	AOGC01087774.1	NW_013190299.1	343	4637
C17660727	AOGC01087779.1	NW_013190292.1	343	4638
C17661423	AOGC01087780.1	NW_013190289.1	343	4639
C17661061	AOGC01087781.1	NW_013190298.1	343	4640
C17662183	AOGC01087782.1	NW_013190300.1	343	4641
C17661917	AOGC01087783.1	NW_013190297.1	343	4642
C17661951	AOGC01087784.1	NW_013190295.1	343	4643
C17661569	AOGC01087785.1	NW_013190296.1	343	4644
C17662037	AOGC01087786.1	NW_013190294.1	343	4645
C17662351	AOGC01087787.1	NW_013190290.1	343	4646
C17661637	AOGC01087788.1	NW_013190291.1	343	4647
C17662471	AOGC01087789.1	NW_013190293.1	343	4648
C17658743	AOGC01087764.1	NW_013190307.1	342	4649
C17659227	AOGC01087766.1	NW_013190302.1	342	4650
C17659241	AOGC01087768.1	NW_013190301.1	342	4651
C17658435	AOGC01087769.1	NW_013190312.1	342	4652
C17659177	AOGC01087770.1	NW_013190303.1	342	4653
C17659597	AOGC01087771.1	NW_013190309.1	342	4654
C17659251	AOGC01087772.1	NW_013190306.1	342	4655
C17659143	AOGC01087773.1	NW_013190305.1	342	4656
C17660173	AOGC01087775.1	NW_013190308.1	342	4657
C17659671	AOGC01087776.1	NW_013190310.1	342	4658
C17660189	AOGC01087777.1	NW_013190304.1	342	4659
C17660449	AOGC01087778.1	NW_013190311.1	342	4660
C17656765	AOGC01087753.1	NW_013190314.1	341	4661
C17656759	AOGC01087755.1	NW_013190321.1	341	4662
C17657075	AOGC01087756.1	NW_013190316.1	341	4663
C17656991	AOGC01087757.1	NW_013190319.1	341	4664
C17657483	AOGC01087758.1	NW_013190315.1	341	4665
C17657471	AOGC01087759.1	NW_013190317.1	341	4666
C17657923	AOGC01087760.1	NW_013190323.1	341	4667
C17657717	AOGC01087761.1	NW_013190322.1	341	4668
C17657499	AOGC01087762.1	NW_013190318.1	341	4669
C17658205	AOGC01087763.1	NW_013190313.1	341	4670
C17657463	AOGC01087765.1	NW_013190320.1	341	4671
C17657563	AOGC01087767.1	NW_013190324.1	341	4672
C17654837	AOGC01087740.1	NW_013190336.1	340	4673
C17655461	AOGC01087742.1	NW_013190332.1	340	4674
C17655627	AOGC01087743.1	NW_013190328.1	340	4675
C17655325	AOGC01087744.1	NW_013190333.1	340	4676
C17655729	AOGC01087745.1	NW_013190331.1	340	4677
C17656073	AOGC01087746.1	NW_013190325.1	340	4678
C17655567	AOGC01087747.1	NW_013190330.1	340	4679
C17655799	AOGC01087748.1	NW_013190335.1	340	4680
C17656127	AOGC01087750.1	NW_013190326.1	340	4681
C17656225	AOGC01087751.1	NW_013190334.1	340	4682
C17656287	AOGC01087752.1	NW_013190327.1	340	4683
C17656279	AOGC01087754.1	NW_013190329.1	340	4684
scaffold805	AOGC01082587.1	NW_013190349.1	339	4685
scaffold1265	AOGC01084412.1	NW_013190342.1	339	4686
scaffold1387	AOGC01084591.1	NW_013190353.1	339	4687
C17652557	AOGC01087724.1	NW_013190337.1	339	4688
C17652535	AOGC01087725.1	NW_013190354.1	339	4689
C17652707	AOGC01087726.1	NW_013190346.1	339	4690
C17652101	AOGC01087727.1	NW_013190350.1	339	4691
C17653013	AOGC01087728.1	NW_013190343.1	339	4692
C17652959	AOGC01087729.1	NW_013190347.1	339	4693
C17653043	AOGC01087730.1	NW_013190348.1	339	4694
C17653077	AOGC01087731.1	NW_013190345.1	339	4695
C17652981	AOGC01087732.1	NW_013190355.1	339	4696
C17653293	AOGC01087733.1	NW_013190344.1	339	4697
C17653563	AOGC01087734.1	NW_013190338.1	339	4698
C17653431	AOGC01087735.1	NW_013190341.1	339	4699
C17653333	AOGC01087736.1	NW_013190340.1	339	4700
C17653461	AOGC01087737.1	NW_013190356.1	339	4701
C17654111	AOGC01087738.1	NW_013190339.1	339	4702
C17653651	AOGC01087739.1	NW_013190352.1	339	4703
C17653575	AOGC01087741.1	NW_013190357.1	339	4704
C17653949	AOGC01087749.1	NW_013190351.1	339	4705
C17650085	AOGC01087713.1	NW_013190367.1	338	4706
C17650145	AOGC01087714.1	NW_013190362.1	338	4707
C17650171	AOGC01087715.1	NW_013190358.1	338	4708
C17650521	AOGC01087716.1	NW_013190366.1	338	4709
C17651027	AOGC01087717.1	NW_013190359.1	338	4710
C17650833	AOGC01087718.1	NW_013190364.1	338	4711
C17651083	AOGC01087719.1	NW_013190365.1	338	4712
C17651387	AOGC01087720.1	NW_013190360.1	338	4713
C17651289	AOGC01087722.1	NW_013190361.1	338	4714
C17651003	AOGC01087723.1	NW_013190363.1	338	4715
C17647935	AOGC01087697.1	NW_013190381.1	337	4716
C17648001	AOGC01087700.1	NW_013190372.1	337	4717
C17647991	AOGC01087702.1	NW_013190377.1	337	4718
C17648659	AOGC01087703.1	NW_013190373.1	337	4719
C17648093	AOGC01087704.1	NW_013190380.1	337	4720
C17648391	AOGC01087705.1	NW_013190370.1	337	4721
C17648125	AOGC01087706.1	NW_013190368.1	337	4722
C17649235	AOGC01087707.1	NW_013190378.1	337	4723
C17648831	AOGC01087708.1	NW_013190371.1	337	4724
C17647971	AOGC01087709.1	NW_013190375.1	337	4725
C17649271	AOGC01087710.1	NW_013190379.1	337	4726
C17649093	AOGC01087711.1	NW_013190369.1	337	4727
C17649431	AOGC01087712.1	NW_013190374.1	337	4728
C17649827	AOGC01087721.1	NW_013190376.1	337	4729
scaffold1285	AOGC01084435.1	NW_013190388.1	336	4730
C17646429	AOGC01087684.1	NW_013190395.1	336	4731
C17646883	AOGC01087687.1	NW_013190390.1	336	4732
C17646877	AOGC01087688.1	NW_013190385.1	336	4733
C17646891	AOGC01087689.1	NW_013190394.1	336	4734
C17647109	AOGC01087690.1	NW_013190393.1	336	4735
C17646047	AOGC01087691.1	NW_013190391.1	336	4736
C17646981	AOGC01087692.1	NW_013190383.1	336	4737
C17647259	AOGC01087693.1	NW_013190384.1	336	4738
C17647633	AOGC01087694.1	NW_013190392.1	336	4739
C17647427	AOGC01087695.1	NW_013190387.1	336	4740
C17647193	AOGC01087696.1	NW_013190396.1	336	4741
C17647095	AOGC01087698.1	NW_013190389.1	336	4742
C17647699	AOGC01087699.1	NW_013190382.1	336	4743
C17647723	AOGC01087701.1	NW_013190386.1	336	4744
scaffold1247	AOGC01084384.1	NW_013190398.1	335	4745
C17643883	AOGC01087675.1	NW_013190402.1	335	4746
C17644123	AOGC01087676.1	NW_013190404.1	335	4747
C17644867	AOGC01087678.1	NW_013190401.1	335	4748
C17644299	AOGC01087679.1	NW_013190407.1	335	4749
C17645003	AOGC01087680.1	NW_013190403.1	335	4750
C17645331	AOGC01087681.1	NW_013190400.1	335	4751
C17644519	AOGC01087682.1	NW_013190406.1	335	4752
C17645297	AOGC01087683.1	NW_013190405.1	335	4753
C17645655	AOGC01087685.1	NW_013190397.1	335	4754
C17645391	AOGC01087686.1	NW_013190399.1	335	4755
C17642325	AOGC01087661.1	NW_013190418.1	334	4756
C17641533	AOGC01087662.1	NW_013190414.1	334	4757
C17642055	AOGC01087663.1	NW_013190419.1	334	4758
C17641647	AOGC01087664.1	NW_013190410.1	334	4759
C17642427	AOGC01087666.1	NW_013190420.1	334	4760
C17643077	AOGC01087667.1	NW_013190412.1	334	4761
C17642469	AOGC01087668.1	NW_013190417.1	334	4762
C17642989	AOGC01087669.1	NW_013190409.1	334	4763
C17643259	AOGC01087670.1	NW_013190411.1	334	4764
C17643491	AOGC01087671.1	NW_013190413.1	334	4765
C17642727	AOGC01087672.1	NW_013190408.1	334	4766
C17643603	AOGC01087673.1	NW_013190415.1	334	4767
C17643639	AOGC01087674.1	NW_013190416.1	334	4768
C17643449	AOGC01087677.1	NW_013190421.1	334	4769
C17640255	AOGC01087652.1	NW_013190429.1	333	4770
C17640703	AOGC01087653.1	NW_013190430.1	333	4771
C17640657	AOGC01087654.1	NW_013190424.1	333	4772
C17639243	AOGC01087655.1	NW_013190426.1	333	4773
C17640139	AOGC01087656.1	NW_013190422.1	333	4774
C17640931	AOGC01087657.1	NW_013190423.1	333	4775
C17639813	AOGC01087658.1	NW_013190427.1	333	4776
C17641141	AOGC01087660.1	NW_013190425.1	333	4777
C17641159	AOGC01087665.1	NW_013190428.1	333	4778
scaffold1306	AOGC01084463.1	NW_013190435.1	332	4779
C17637258	AOGC01087641.1	NW_013190437.1	332	4780
C17637358	AOGC01087642.1	NW_013190440.1	332	4781
C17637612	AOGC01087643.1	NW_013190431.1	332	4782
C17637306	AOGC01087645.1	NW_013190432.1	332	4783
C17637692	AOGC01087646.1	NW_013190441.1	332	4784
C17638812	AOGC01087648.1	NW_013190439.1	332	4785
C17638414	AOGC01087649.1	NW_013190438.1	332	4786
C17639216	AOGC01087650.1	NW_013190433.1	332	4787
C17638130	AOGC01087651.1	NW_013190434.1	332	4788
C17639172	AOGC01087659.1	NW_013190436.1	332	4789
scaffold983	AOGC01083815.1	NW_013190444.1	331	4790
C17635190	AOGC01087631.1	NW_013190446.1	331	4791
C17635182	AOGC01087633.1	NW_013190449.1	331	4792
C17635498	AOGC01087634.1	NW_013190442.1	331	4793
C17635554	AOGC01087635.1	NW_013190443.1	331	4794
C17635136	AOGC01087636.1	NW_013190452.1	331	4795
C17635772	AOGC01087637.1	NW_013190450.1	331	4796
C17635422	AOGC01087638.1	NW_013190453.1	331	4797
C17635762	AOGC01087639.1	NW_013190448.1	331	4798
C17636064	AOGC01087640.1	NW_013190447.1	331	4799
C17636602	AOGC01087644.1	NW_013190451.1	331	4800
C17635824	AOGC01087647.1	NW_013190445.1	331	4801
scaffold1433	AOGC01084661.1	NW_013190458.1	330	4802
C17633042	AOGC01087621.1	NW_013190456.1	330	4803
C17633388	AOGC01087623.1	NW_013190459.1	330	4804
C17633238	AOGC01087624.1	NW_013190463.1	330	4805
C17633714	AOGC01087625.1	NW_013190457.1	330	4806
C17633892	AOGC01087626.1	NW_013190460.1	330	4807
C17634344	AOGC01087627.1	NW_013190462.1	330	4808
C17633856	AOGC01087628.1	NW_013190464.1	330	4809
C17634560	AOGC01087629.1	NW_013190461.1	330	4810
C17634466	AOGC01087630.1	NW_013190454.1	330	4811
C17634950	AOGC01087632.1	NW_013190455.1	330	4812
C17631650	AOGC01087609.1	NW_013190467.1	329	4813
C17631434	AOGC01087610.1	NW_013190465.1	329	4814
C17631720	AOGC01087614.1	NW_013190466.1	329	4815
C17632128	AOGC01087615.1	NW_013190471.1	329	4816
C17631910	AOGC01087616.1	NW_013190470.1	329	4817
C17632134	AOGC01087617.1	NW_013190472.1	329	4818
C17632756	AOGC01087618.1	NW_013190469.1	329	4819
C17632468	AOGC01087619.1	NW_013190474.1	329	4820
C17632558	AOGC01087620.1	NW_013190468.1	329	4821
C17631690	AOGC01087622.1	NW_013190473.1	329	4822
C17628608	AOGC01087603.1	NW_013190475.1	328	4823
C17629248	AOGC01087604.1	NW_013190481.1	328	4824
C17629910	AOGC01087605.1	NW_013190480.1	328	4825
C17630228	AOGC01087606.1	NW_013190483.1	328	4826
C17630438	AOGC01087607.1	NW_013190477.1	328	4827
C17629392	AOGC01087608.1	NW_013190476.1	328	4828
C17629404	AOGC01087611.1	NW_013190479.1	328	4829
C17630584	AOGC01087612.1	NW_013190478.1	328	4830
C17629234	AOGC01087613.1	NW_013190482.1	328	4831
C17627028	AOGC01087593.1	NW_013190490.1	327	4832
C17626708	AOGC01087594.1	NW_013190484.1	327	4833
C17627062	AOGC01087596.1	NW_013190488.1	327	4834
C17628038	AOGC01087597.1	NW_013190485.1	327	4835
C17628294	AOGC01087598.1	NW_013190489.1	327	4836
C17627410	AOGC01087600.1	NW_013190491.1	327	4837
C17627608	AOGC01087601.1	NW_013190487.1	327	4838
C17627308	AOGC01087602.1	NW_013190486.1	327	4839
C17624186	AOGC01087577.1	NW_013190498.1	326	4840
C17624572	AOGC01087586.1	NW_013190501.1	326	4841
C17625486	AOGC01087587.1	NW_013190497.1	326	4842
C17625592	AOGC01087588.1	NW_013190495.1	326	4843
C17625654	AOGC01087589.1	NW_013190496.1	326	4844
C17626178	AOGC01087590.1	NW_013190492.1	326	4845
C17625988	AOGC01087591.1	NW_013190494.1	326	4846
C17625854	AOGC01087592.1	NW_013190499.1	326	4847
C17624262	AOGC01087595.1	NW_013190500.1	326	4848
C17626202	AOGC01087599.1	NW_013190493.1	326	4849
C17622138	AOGC01087566.1	NW_013190504.1	325	4850
C17622834	AOGC01087569.1	NW_013190509.1	325	4851
C17622792	AOGC01087571.1	NW_013190507.1	325	4852
C17622394	AOGC01087572.1	NW_013190506.1	325	4853
C17623256	AOGC01087573.1	NW_013190510.1	325	4854
C17623810	AOGC01087574.1	NW_013190508.1	325	4855
C17623052	AOGC01087575.1	NW_013190511.1	325	4856
C17624008	AOGC01087576.1	NW_013190503.1	325	4857
C17623930	AOGC01087584.1	NW_013190505.1	325	4858
C17623322	AOGC01087585.1	NW_013190502.1	325	4859
scaffold930	AOGC01083225.1	NW_013190515.1	324	4860
C17620408	AOGC01087556.1	NW_013190513.1	324	4861
C17620780	AOGC01087560.1	NW_013190521.1	324	4862
C17621250	AOGC01087561.1	NW_013190512.1	324	4863
C17620824	AOGC01087562.1	NW_013190519.1	324	4864
C17621086	AOGC01087563.1	NW_013190514.1	324	4865
